date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu maryland,flu game,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,fever,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,stomach,how long is flu contagious,treatment for flu,cdc flu,taking temperature,exposed to flu,flu length,bronchitis,get over the flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,signs of the flu,treat flu,how to get rid of the flu,body temperature
2010-50,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2010-51,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2010-52,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-01,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-02,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-03,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-04,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-05,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-06,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-07,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-08,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-09,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-10,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-11,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-12,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-13,7.0,0.0,0.0,4.0,4.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,17.0,26.0,52.0,0.0,0.0,23.0,0.0,46.0,23.0,1.0,43.0,1.0,0.0,17.0,0.0,9.0,9.0,16.0,7.0,9.0,7.0,0.0,6.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,10.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,70.0
2011-14,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,5.0,0.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,56.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,53.0,0.0,0.0,8.0,8.0,8.0,0.0,19.0,0.0,9.0,3.0,0.0,0.0,6.0,0.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,0.0,10.0,0.0,0.0,0.0,0.0,41.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,69.0
2011-15,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,5.0,0.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,56.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,53.0,0.0,0.0,8.0,8.0,8.0,0.0,19.0,0.0,9.0,3.0,0.0,0.0,6.0,0.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,0.0,10.0,0.0,0.0,0.0,0.0,41.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,69.0
2011-16,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,5.0,0.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,56.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,53.0,0.0,0.0,8.0,8.0,8.0,0.0,19.0,0.0,9.0,3.0,0.0,0.0,6.0,0.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,0.0,10.0,0.0,0.0,0.0,0.0,41.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,69.0
2011-17,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,5.0,0.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,56.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,53.0,0.0,0.0,8.0,8.0,8.0,0.0,19.0,0.0,9.0,3.0,0.0,0.0,6.0,0.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,0.0,10.0,0.0,0.0,0.0,0.0,41.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,69.0
2011-18,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,3.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,51.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,41.0,0.0,0.0,13.0,0.0,17.0,8.0,14.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,10.0,0.0,0.0,0.0,33.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,32.0
2011-19,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,3.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,51.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,41.0,0.0,0.0,13.0,0.0,17.0,8.0,14.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,10.0,0.0,0.0,0.0,33.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,32.0
