date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu symptoms,flu game,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu chicago,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,medicine for flu,cold vs flu,influenza type a,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,walgreens flu shot,normal body temperature,how to treat the flu,flu virus,fever flu,stomach flu,how long does flu last,illinois flu,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,stomach,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2010-40,19.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,1.0,0.0,0.0,10.0,14.0,1.0,0.0,0.0,3.0,8.0,0.0,5.0,0.0,45.0,18.0,0.0,14.0,49.0,14.0,49.0,0.0,23.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,16.0,36.0,0.0,5.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0,21.0,17.0,0.0,46.0,7.0,50.0,2.0,3.0,31.0,5.0,0.0,5.0,16.0,0.0,0.0,33.0,15.0,15.0,0.0,30.0,0.0,46.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,44.0,33.0,22.0,0.0,11.0,11.0,11.0,6.0,6.0,66.0
2010-41,19.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,1.0,0.0,0.0,10.0,14.0,1.0,0.0,0.0,3.0,8.0,0.0,5.0,0.0,45.0,18.0,0.0,14.0,49.0,14.0,49.0,0.0,23.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,16.0,36.0,0.0,5.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0,21.0,17.0,0.0,46.0,7.0,50.0,2.0,3.0,31.0,5.0,0.0,5.0,16.0,0.0,0.0,33.0,15.0,15.0,0.0,30.0,0.0,46.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,44.0,33.0,22.0,0.0,11.0,11.0,11.0,6.0,6.0,66.0
2010-42,19.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,1.0,0.0,0.0,10.0,14.0,1.0,0.0,0.0,3.0,8.0,0.0,5.0,0.0,45.0,18.0,0.0,14.0,49.0,14.0,49.0,0.0,23.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,16.0,36.0,0.0,5.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0,21.0,17.0,0.0,46.0,7.0,50.0,2.0,3.0,31.0,5.0,0.0,5.0,16.0,0.0,0.0,33.0,15.0,15.0,0.0,30.0,0.0,46.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,44.0,33.0,22.0,0.0,11.0,11.0,11.0,6.0,6.0,66.0
2010-43,19.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,1.0,0.0,0.0,10.0,14.0,1.0,0.0,0.0,3.0,8.0,0.0,5.0,0.0,45.0,18.0,0.0,14.0,49.0,14.0,49.0,0.0,23.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,16.0,36.0,0.0,5.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0,21.0,17.0,0.0,46.0,7.0,50.0,2.0,3.0,31.0,5.0,0.0,5.0,16.0,0.0,0.0,33.0,15.0,15.0,0.0,30.0,0.0,46.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,44.0,33.0,22.0,0.0,11.0,11.0,11.0,6.0,6.0,66.0
2010-44,19.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,1.0,0.0,0.0,10.0,14.0,1.0,0.0,0.0,3.0,8.0,0.0,5.0,0.0,45.0,18.0,0.0,14.0,49.0,14.0,49.0,0.0,23.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,16.0,36.0,0.0,5.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0,21.0,17.0,0.0,46.0,7.0,50.0,2.0,3.0,31.0,5.0,0.0,5.0,16.0,0.0,0.0,33.0,15.0,15.0,0.0,30.0,0.0,46.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,44.0,33.0,22.0,0.0,11.0,11.0,11.0,6.0,6.0,66.0
2010-45,15.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,44.0,6.0,1.0,0.0,0.0,11.0,14.0,1.0,2.0,0.0,0.0,18.0,3.0,7.0,0.0,37.0,0.0,0.0,22.0,65.0,43.0,29.0,0.0,7.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0,21.0,21.0,11.0,11.0,0.0,5.0,0.0,49.0,33.0,0.0,0.0,0.0,22.0,0.0,35.0,5.0,46.0,2.0,2.0,5.0,5.0,0.0,22.0,0.0,0.0,0.0,96.0,0.0,15.0,0.0,16.0,0.0,45.0,0.0,0.0,8.0,15.0,31.0,0.0,11.0,51.0,23.0,11.0,12.0,12.0,12.0,0.0,16.0,0.0,55.0
2010-46,15.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,44.0,6.0,1.0,0.0,0.0,11.0,14.0,1.0,2.0,0.0,0.0,18.0,3.0,7.0,0.0,37.0,0.0,0.0,22.0,65.0,43.0,29.0,0.0,7.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0,21.0,21.0,11.0,11.0,0.0,5.0,0.0,49.0,33.0,0.0,0.0,0.0,22.0,0.0,35.0,5.0,46.0,2.0,2.0,5.0,5.0,0.0,22.0,0.0,0.0,0.0,96.0,0.0,15.0,0.0,16.0,0.0,45.0,0.0,0.0,8.0,15.0,31.0,0.0,11.0,51.0,23.0,11.0,12.0,12.0,12.0,0.0,16.0,0.0,55.0
2010-47,15.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,44.0,6.0,1.0,0.0,0.0,11.0,14.0,1.0,2.0,0.0,0.0,18.0,3.0,7.0,0.0,37.0,0.0,0.0,22.0,65.0,43.0,29.0,0.0,7.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0,21.0,21.0,11.0,11.0,0.0,5.0,0.0,49.0,33.0,0.0,0.0,0.0,22.0,0.0,35.0,5.0,46.0,2.0,2.0,5.0,5.0,0.0,22.0,0.0,0.0,0.0,96.0,0.0,15.0,0.0,16.0,0.0,45.0,0.0,0.0,8.0,15.0,31.0,0.0,11.0,51.0,23.0,11.0,12.0,12.0,12.0,0.0,16.0,0.0,55.0
2010-48,15.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,44.0,6.0,1.0,0.0,0.0,11.0,14.0,1.0,2.0,0.0,0.0,18.0,3.0,7.0,0.0,37.0,0.0,0.0,22.0,65.0,43.0,29.0,0.0,7.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0,21.0,21.0,11.0,11.0,0.0,5.0,0.0,49.0,33.0,0.0,0.0,0.0,22.0,0.0,35.0,5.0,46.0,2.0,2.0,5.0,5.0,0.0,22.0,0.0,0.0,0.0,96.0,0.0,15.0,0.0,16.0,0.0,45.0,0.0,0.0,8.0,15.0,31.0,0.0,11.0,51.0,23.0,11.0,12.0,12.0,12.0,0.0,16.0,0.0,55.0
2010-49,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2010-50,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2010-51,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2010-52,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-01,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-02,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-03,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-04,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-05,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-06,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-07,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-08,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-09,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-10,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-11,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-12,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-13,7.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,47.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,0.0,20.0,8.0,8.0,6.0,70.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,9.0,33.0,5.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,11.0,2.0,21.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,44.0,10.0,7.0,7.0,17.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,5.0,5.0,0.0,0.0,6.0,3.0,62.0
2011-14,5.0,14.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,41.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,31.0,8.0,0.0,9.0,50.0,6.0,24.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,15.0,57.0,4.0,0.0,0.0,0.0,2.0,0.0,40.0,0.0,0.0,0.0,14.0,0.0,14.0,2.0,9.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,13.0,6.0,0.0,6.0,0.0,45.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,14.0,14.0,9.0,5.0,0.0,0.0,0.0,3.0,3.0,55.0
2011-15,5.0,14.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,41.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,31.0,8.0,0.0,9.0,50.0,6.0,24.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,15.0,57.0,4.0,0.0,0.0,0.0,2.0,0.0,40.0,0.0,0.0,0.0,14.0,0.0,14.0,2.0,9.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,13.0,6.0,0.0,6.0,0.0,45.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,14.0,14.0,9.0,5.0,0.0,0.0,0.0,3.0,3.0,55.0
2011-16,5.0,14.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,41.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,31.0,8.0,0.0,9.0,50.0,6.0,24.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,15.0,57.0,4.0,0.0,0.0,0.0,2.0,0.0,40.0,0.0,0.0,0.0,14.0,0.0,14.0,2.0,9.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,13.0,6.0,0.0,6.0,0.0,45.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,14.0,14.0,9.0,5.0,0.0,0.0,0.0,3.0,3.0,55.0
2011-17,5.0,14.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,41.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,31.0,8.0,0.0,9.0,50.0,6.0,24.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,15.0,57.0,4.0,0.0,0.0,0.0,2.0,0.0,40.0,0.0,0.0,0.0,14.0,0.0,14.0,2.0,9.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,13.0,6.0,0.0,6.0,0.0,45.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,14.0,14.0,9.0,5.0,0.0,0.0,0.0,3.0,3.0,55.0
2011-18,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,8.0,0.0,20.0,6.0,57.0,0.0,12.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,13.0,36.0,4.0,3.0,0.0,0.0,5.0,0.0,69.0,0.0,0.0,0.0,13.0,0.0,4.0,2.0,10.0,2.0,3.0,2.0,0.0,0.0,5.0,0.0,9.0,0.0,38.0,7.0,6.0,0.0,6.0,0.0,50.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,12.0,7.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,56.0
2011-19,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,8.0,0.0,20.0,6.0,57.0,0.0,12.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,13.0,36.0,4.0,3.0,0.0,0.0,5.0,0.0,69.0,0.0,0.0,0.0,13.0,0.0,4.0,2.0,10.0,2.0,3.0,2.0,0.0,0.0,5.0,0.0,9.0,0.0,38.0,7.0,6.0,0.0,6.0,0.0,50.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,12.0,7.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,56.0
2011-20,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,8.0,0.0,20.0,6.0,57.0,0.0,12.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,13.0,36.0,4.0,3.0,0.0,0.0,5.0,0.0,69.0,0.0,0.0,0.0,13.0,0.0,4.0,2.0,10.0,2.0,3.0,2.0,0.0,0.0,5.0,0.0,9.0,0.0,38.0,7.0,6.0,0.0,6.0,0.0,50.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,12.0,7.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,56.0
2011-21,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,8.0,0.0,20.0,6.0,57.0,0.0,12.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,13.0,36.0,4.0,3.0,0.0,0.0,5.0,0.0,69.0,0.0,0.0,0.0,13.0,0.0,4.0,2.0,10.0,2.0,3.0,2.0,0.0,0.0,5.0,0.0,9.0,0.0,38.0,7.0,6.0,0.0,6.0,0.0,50.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,12.0,7.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,56.0
